mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.220138889,-0.257638889,1,0,0,-1.06875,0.150694444,1,0,0,calibration_square,0,0,0,8,1,-0.45,0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-1.075,-0.453472222,1,0,0,calibration_square,0,1,1,0,1,-0.45,-0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,1.072222222,-0.451388889,1,0,0,calibration_square,0,2,2,3,1,0.45,-0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,0.359722222,-0.451388889,1,0,0,calibration_square,0,3,3,2,1,0.15,-0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,0.352777778,-0.154166667,1,0,0,calibration_square,0,4,4,6,1,0.15,-0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-1.070138889,0.447222222,1,0,0,calibration_square,0,5,5,12,1,-0.45,0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-0.3625,-0.151388889,1,0,0,calibration_square,0,6,6,5,1,-0.15,-0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-0.357638889,0.154861111,1,0,0,calibration_square,0,7,7,9,1,-0.15,0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-1.075,0.458333333,1,0,0,calibration_square,0,8,8,19,1,-0.45,0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,1.081944444,-0.149305556,1,0,0,calibration_square,0,9,9,7,1,0.45,-0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,1.075,0.450694444,1,0,0,calibration_square,0,10,10,18,1,0.45,0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-1.078472222,-0.441666667,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,1.073611111,-0.452777778,1,0,0,calibration_square,0,12,12,17,1,0.45,-0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,0.35,0.154861111,1,0,0,calibration_square,0,13,13,10,1,0.15,0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,1.079861111,0.151388889,1,0,0,calibration_square,0,14,14,11,1,0.45,0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,0.365972222,0.450694444,1,0,0,calibration_square,0,15,15,14,1,0.15,0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-1.073611111,-0.156944444,1,0,0,calibration_square,0,16,16,4,1,-0.45,-0.15,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-0.348611111,0.45,1,0,0,calibration_square,0,17,17,13,1,-0.15,0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,-0.361111111,-0.453472222,1,0,0,calibration_square,0,18,18,1,1,-0.15,-0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
,,,,,1.074305556,0.446527778,1,0,0,calibration_square,0,19,19,15,1,0.45,0.45,A,001,2022-07-21_13h49.46.854,demo_eye_tracking2,2021.1.4,Win32,75.10890792
