mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.424333878,-0.282302688,1,0,0,0.873148314,0.45648148,1,0,0,calibration_square,0,0,0,15,1,0.45,0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.260185219,0.452777776,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.266666648,-0.154629649,1,0,0,calibration_square,0,2,2,5,1,-0.15,-0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.800926089,-0.450925954,1,0,0,calibration_square,0,3,3,17,1,0.45,-0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.803703867,-0.142592612,1,0,0,calibration_square,0,4,4,7,1,0.45,-0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.804629627,-0.148148167,1,0,0,calibration_square,0,5,5,4,1,-0.45,-0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.269444426,0.446296295,1,0,0,calibration_square,0,6,6,13,1,-0.15,0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.266666701,0.157407397,1,0,0,calibration_square,0,7,7,10,1,0.15,0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.268518553,-0.150925945,1,0,0,calibration_square,0,8,8,6,1,0.15,-0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.809259257,-0.441666695,1,0,0,calibration_square,0,9,9,16,1,-0.45,-0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.799074064,0.455555554,1,0,0,calibration_square,0,10,10,12,1,-0.45,0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.800925923,-0.45185188,1,0,0,calibration_square,0,11,11,0,1,-0.45,-0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.803703701,0.457407406,1,0,0,calibration_square,0,12,12,19,1,-0.45,0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.796296286,0.153703693,1,0,0,calibration_square,0,13,13,8,1,-0.45,0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.80462968,0.454629628,1,0,0,calibration_square,0,14,14,18,1,0.45,0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.264814796,0.151851841,1,0,0,calibration_square,0,15,15,9,1,-0.15,0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.802777828,-0.452777806,1,0,0,calibration_square,0,16,16,3,1,0.45,-0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.803703867,0.147222212,1,0,0,calibration_square,0,17,17,11,1,0.45,0.15,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.25925924,-0.446296381,1,0,0,calibration_square,0,18,18,1,1,-0.15,-0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.275000035,-0.454629658,1,0,0,calibration_square,0,19,19,2,1,0.15,-0.45,Denise,001,2020-12-03_10h34.07.997,demo_eye_tracking2,2020.2.5,Win32,60
