mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.357369792,-0.263813244,1,0,0,0.242273065,0.452139137,1,0,0,calibration_square,0,0,0,14,1,0.15,0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.723537946,0.443843006,1,0,0,calibration_square,0,1,1,18,1,0.45,0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.719944196,0.451741071,1,0,0,calibration_square,0,2,2,15,1,0.45,0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722700893,0.15390253,1,0,0,calibration_square,0,3,3,11,1,0.45,0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.723262649,0.147998512,1,0,0,calibration_square,0,4,4,8,1,-0.45,0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.719207589,0.449773065,1,0,0,calibration_square,0,5,5,19,1,-0.45,0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.719207589,0.449773065,1,0,0,calibration_square,0,6,6,12,1,-0.45,0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.71688244,-0.451361607,1,0,0,calibration_square,0,7,7,16,1,-0.45,-0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722090774,-0.150457589,1,0,0,calibration_square,0,8,8,7,1,0.45,-0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.242444196,0.150598958,1,0,0,calibration_square,0,9,9,10,1,0.15,0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722712054,-0.4509375,1,0,0,calibration_square,0,10,10,3,1,0.45,-0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.240338542,-0.154962798,1,0,0,calibration_square,0,11,11,5,1,-0.15,-0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.725491071,-0.446350446,1,0,0,calibration_square,0,12,12,17,1,0.45,-0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.234453125,0.151826637,1,0,0,calibration_square,0,13,13,9,1,-0.15,0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.234776786,0.457425595,1,0,0,calibration_square,0,14,14,13,1,-0.15,0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.725342262,-0.45500744,1,0,0,calibration_square,0,15,15,0,1,-0.45,-0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.24406622,-0.155863095,1,0,0,calibration_square,0,16,16,6,1,0.15,-0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.24155506,-0.449884673,1,0,0,calibration_square,0,17,17,2,1,0.15,-0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.727220982,-0.157235863,1,0,0,calibration_square,0,18,18,4,1,-0.45,-0.15,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.236034226,-0.455922619,1,0,0,calibration_square,0,19,19,1,1,-0.15,-0.45,Elena,001,2021-01-11_16h37.35.804,demo_eye_tracking2,2020.2.5,MacIntel,60
