mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.026388889,0.004861111,1,0,0,-0.801388889,0.447222222,1,0,0,calibration_square,0,0,0,19,1,-0.45,0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.266666667,0.147222222,1,0,0,calibration_square,0,1,1,10,1,0.15,0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.261805556,-0.447916667,1,0,0,calibration_square,0,2,2,1,1,-0.15,-0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.801388889,0.149305556,1,0,0,calibration_square,0,3,3,11,1,0.45,0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.802083333,-0.452083333,1,0,0,calibration_square,0,4,4,0,1,-0.45,-0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.2625,0.451388889,1,0,0,calibration_square,0,5,5,14,1,0.15,0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.806944444,-0.445833333,1,0,0,calibration_square,0,6,6,3,1,0.45,-0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.804166667,-0.446527778,1,0,0,calibration_square,0,7,7,16,1,-0.45,-0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.268055556,0.145833333,1,0,0,calibration_square,0,8,8,9,1,-0.15,0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.800694444,-0.144444444,1,0,0,calibration_square,0,9,9,4,1,-0.45,-0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.794444444,0.451388889,1,0,0,calibration_square,0,10,10,15,1,0.45,0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.809722222,0.141666667,1,0,0,calibration_square,0,11,11,8,1,-0.45,0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.270138889,0.450694444,1,0,0,calibration_square,0,12,12,13,1,-0.15,0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.266666667,-0.146527778,1,0,0,calibration_square,0,13,13,6,1,0.15,-0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.804166667,0.452777778,1,0,0,calibration_square,0,14,14,18,1,0.45,0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.269444444,-0.45,1,0,0,calibration_square,0,15,15,2,1,0.15,-0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.803472222,0.446527778,1,0,0,calibration_square,0,16,16,12,1,-0.45,0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,-0.263194444,-0.148611111,1,0,0,calibration_square,0,17,17,5,1,-0.15,-0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.801388889,-0.148611111,1,0,0,calibration_square,0,18,18,7,1,0.45,-0.15,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
,,,,,0.802083333,-0.447222222,1,0,0,calibration_square,0,19,19,17,1,0.45,-0.45,Master,001,2021-10-19_16h32.05.582,demo_eye_tracking2,2021.1.4,Win32,59.95563283
