mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.271620212,-0.251833089,1,0,0,-0.719901276,-0.455557522,1,0,0,calibration_square,0,0,0,0,1,-0.45,-0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.242744005,-0.153401082,1,0,0,calibration_square,0,1,1,5,1,-0.15,-0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.238198513,0.152236667,1,0,0,calibration_square,0,2,2,10,1,0.15,0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720244717,0.150209181,1,0,0,calibration_square,0,3,3,8,1,-0.45,0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.720101318,-0.453299967,1,0,0,calibration_square,0,4,4,17,1,0.45,-0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.244070163,-0.450130141,1,0,0,calibration_square,0,5,5,2,1,0.15,-0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722845595,-0.455973104,1,0,0,calibration_square,0,6,6,3,1,0.45,-0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.237133891,-0.447352702,1,0,0,calibration_square,0,7,7,1,1,-0.15,-0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.715180647,0.444389615,1,0,0,calibration_square,0,8,8,19,1,-0.45,0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.244035305,-0.150518799,1,0,0,calibration_square,0,9,9,6,1,0.15,-0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.242140333,0.148864305,1,0,0,calibration_square,0,10,10,9,1,-0.15,0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720603316,-0.448375448,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.721178368,-0.152457479,1,0,0,calibration_square,0,12,12,4,1,-0.45,-0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.71975179,0.451643355,1,0,0,calibration_square,0,13,13,18,1,0.45,0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.719619073,0.449618225,1,0,0,calibration_square,0,14,14,12,1,-0.45,0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.717154677,-0.148901571,1,0,0,calibration_square,0,15,15,7,1,0.45,-0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.72010064,0.453635339,1,0,0,calibration_square,0,16,16,15,1,0.45,0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.238665365,0.450020871,1,0,0,calibration_square,0,17,17,14,1,0.15,0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.719371202,0.15154246,1,0,0,calibration_square,0,18,18,11,1,0.45,0.15,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.237723151,0.448957265,1,0,0,calibration_square,0,19,19,13,1,-0.15,0.45,Pepa,001,2021-01-31_17h38.39.208,demo_eye_tracking2,2020.2.5,MacIntel,60
