mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.013740458,-0.164122137,1,0,0,-0.880916031,-0.446564885,1,0,0,calibration_square,0,0,0,16,1,-0.45,-0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.879389313,0.150381679,1,0,0,calibration_square,0,1,1,11,1,0.45,0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.876335878,0.449618321,1,0,0,calibration_square,0,2,2,12,1,-0.45,0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.879389313,0.452671756,1,0,0,calibration_square,0,3,3,18,1,0.45,0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.293129771,0.446564885,1,0,0,calibration_square,0,4,4,13,1,-0.15,0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.883969466,-0.455725191,1,0,0,calibration_square,0,5,5,3,1,0.45,-0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.880916031,-0.154961832,1,0,0,calibration_square,0,6,6,7,1,0.45,-0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.288549618,-0.150381679,1,0,0,calibration_square,0,7,7,5,1,-0.15,-0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.879389313,0.451145038,1,0,0,calibration_square,0,8,8,15,1,0.45,0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.294656489,0.151908397,1,0,0,calibration_square,0,9,9,9,1,-0.15,0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.288549618,-0.451145038,1,0,0,calibration_square,0,10,10,1,1,-0.15,-0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.294656489,-0.147328244,1,0,0,calibration_square,0,11,11,6,1,0.15,-0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.291603053,-0.452671756,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.882442748,-0.445038168,1,0,0,calibration_square,0,13,13,17,1,0.45,-0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.873282443,-0.144274809,1,0,0,calibration_square,0,14,14,4,1,-0.45,-0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.876335878,0.446564885,1,0,0,calibration_square,0,15,15,19,1,-0.45,0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.877862595,-0.449618321,1,0,0,calibration_square,0,16,16,0,1,-0.45,-0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.290076336,0.454198473,1,0,0,calibration_square,0,17,17,14,1,0.15,0.45,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.883969466,0.151908397,1,0,0,calibration_square,0,18,18,8,1,-0.45,0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.296183206,0.147328244,1,0,0,calibration_square,0,19,19,10,1,0.15,0.15,X,001,2020-12-03_10h34.29.530,demo_eye_tracking2,2020.2.5,MacIntel,60
