mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.068518533,-0.283333345,1,0,0,-0.794444443,0.450925925,1,0,0,calibration_square,0,0,0,19,1,-0.45,0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.26759261,0.151851818,1,0,0,calibration_square,0,1,1,10,1,0.15,0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.267592583,0.151851818,1,0,0,calibration_square,0,2,2,9,1,-0.15,0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.803703702,-0.147222232,1,0,0,calibration_square,0,3,3,4,1,-0.45,-0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.804629628,-0.443518533,1,0,0,calibration_square,0,4,4,0,1,-0.45,-0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.265740758,-0.449074088,1,0,0,calibration_square,0,5,5,2,1,0.15,-0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.800000138,-0.445370384,1,0,0,calibration_square,0,6,6,17,1,0.45,-0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.800000138,-0.146296306,1,0,0,calibration_square,0,7,7,7,1,0.45,-0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.267592583,-0.144444454,1,0,0,calibration_square,0,8,8,5,1,-0.15,-0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.804629768,0.453703703,1,0,0,calibration_square,0,9,9,15,1,0.45,0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.802777776,-0.452777792,1,0,0,calibration_square,0,10,10,16,1,-0.45,-0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.795370508,0.144444439,1,0,0,calibration_square,0,11,11,11,1,0.45,0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.796296321,0.444444444,1,0,0,calibration_square,0,12,12,18,1,0.45,0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.270370388,0.456481477,1,0,0,calibration_square,0,13,13,14,1,0.15,0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.804629628,0.15555555,1,0,0,calibration_square,0,14,14,8,1,-0.45,0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.270370388,-0.148148158,1,0,0,calibration_square,0,15,15,6,1,0.15,-0.15,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.262962954,0.452777777,1,0,0,calibration_square,0,16,16,13,1,-0.15,0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.262036971,-0.45092594,1,0,0,calibration_square,0,17,17,1,1,-0.15,-0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.792592584,0.449074073,1,0,0,calibration_square,0,18,18,12,1,-0.45,0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.795370508,-0.450000014,1,0,0,calibration_square,0,19,19,3,1,0.45,-0.45,al,001,2021-01-12_14h32.31.952,demo_eye_tracking2,2020.2.5,Win32,60
