mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.181805556,-0.423111979,0,0,1,0.244084201,0.452873264,1,0,1,calibration_square,0,0,0,14,1,0.15,0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.721523438,0.453867187,1,0,1,calibration_square,0,1,1,18,1,0.45,0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.241788194,0.447769097,1,0,1,calibration_square,0,2,2,13,1,-0.15,0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.720217014,-0.152890625,1,0,1,calibration_square,0,3,3,7,1,0.45,-0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.721501736,0.453342014,1,0,1,calibration_square,0,4,4,15,1,0.45,0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.723502604,0.452647569,1,0,1,calibration_square,0,5,5,19,1,-0.45,0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.240060764,0.151514757,1,0,1,calibration_square,0,6,6,10,1,0.15,0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.719874132,0.14531684,1,0,1,calibration_square,0,7,7,8,1,-0.45,0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.726753472,0.144466146,1,0,1,calibration_square,0,8,8,11,1,0.45,0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.718116319,-0.451180556,1,0,1,calibration_square,0,9,9,0,1,-0.45,-0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.237517361,0.151167535,1,0,1,calibration_square,0,10,10,9,1,-0.15,0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.71702691,-0.448854167,1,0,1,calibration_square,0,11,11,3,1,0.45,-0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.241449653,-0.147222222,1,0,1,calibration_square,0,12,12,6,1,0.15,-0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720199653,-0.153424479,1,0,1,calibration_square,0,13,13,4,1,-0.45,-0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.240598958,-0.154479167,1,0,1,calibration_square,0,14,14,5,1,-0.15,-0.15,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.241827257,-0.452977431,1,0,1,calibration_square,0,15,15,2,1,0.15,-0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720915799,-0.453932292,1,0,1,calibration_square,0,16,16,16,1,-0.45,-0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.723402778,-0.448302951,1,0,1,calibration_square,0,17,17,17,1,0.45,-0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.716197917,0.455516493,1,0,1,calibration_square,0,18,18,12,1,-0.45,0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.241736111,-0.446375868,1,0,1,calibration_square,0,19,19,1,1,-0.15,-0.45,asdf,001,2021-02-05_15h49.08.420,demo_eye_tracking2,2020.2.5,MacIntel,60
