mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.085555556,-0.17,1,0,0,0.24,0.447777778,1,0,0,calibration_square,0,0,0,14,1,0.15,0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.712222222,0.451111111,1,0,0,calibration_square,0,1,1,12,1,-0.45,0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.712222222,-0.151111111,1,0,0,calibration_square,0,2,2,4,1,-0.45,-0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.241111111,-0.45,1,0,0,calibration_square,0,3,3,2,1,0.15,-0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.245555556,0.15,1,0,0,calibration_square,0,4,4,9,1,-0.15,0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.727777778,-0.446666667,1,0,0,calibration_square,0,5,5,17,1,0.45,-0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.717777778,0.456666667,1,0,0,calibration_square,0,6,6,18,1,0.45,0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.717777778,0.146666667,1,0,0,calibration_square,0,7,7,8,1,-0.45,0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.716666667,-0.447777778,1,0,0,calibration_square,0,8,8,16,1,-0.45,-0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.237777778,-0.151111111,1,0,0,calibration_square,0,9,9,5,1,-0.15,-0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.244444444,0.152222222,1,0,0,calibration_square,0,10,10,10,1,0.15,0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.717777778,0.45,1,0,0,calibration_square,0,11,11,15,1,0.45,0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.718888889,0.152222222,1,0,0,calibration_square,0,12,12,11,1,0.45,0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.237777778,-0.447777778,1,0,0,calibration_square,0,13,13,1,1,-0.15,-0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.721111111,-0.15,1,0,0,calibration_square,0,14,14,7,1,0.45,-0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.245555556,-0.146666667,1,0,0,calibration_square,0,15,15,6,1,0.15,-0.15,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.245555556,0.454444444,1,0,0,calibration_square,0,16,16,13,1,-0.15,0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.723333333,-0.443333333,1,0,0,calibration_square,0,17,17,0,1,-0.45,-0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.724444444,0.458888889,1,0,0,calibration_square,0,18,18,19,1,-0.45,0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.722222222,-0.452222222,1,0,0,calibration_square,0,19,19,3,1,0.45,-0.45,bt,001,2020-10-05_23h20.05.086,demo_eye_tracking2,2020.2.4,MacIntel,60
