mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.165740741,-0.278703704,1,0,0,-0.262962963,0.442592593,1,0,0,calibration_square,0,0,0,13,1,-0.15,0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.27037037,0.443518519,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.80462963,-0.148148148,1,0,0,calibration_square,0,2,2,7,1,0.45,-0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.798148148,0.141666667,1,0,0,calibration_square,0,3,3,8,1,-0.45,0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.808333333,0.15,1,0,0,calibration_square,0,4,4,11,1,0.45,0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.796296296,0.44537037,1,0,0,calibration_square,0,5,5,18,1,0.45,0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.800925926,-0.451851852,1,0,0,calibration_square,0,6,6,3,1,0.45,-0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.260185185,0.151851852,1,0,0,calibration_square,0,7,7,9,1,-0.15,0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.275925926,0.152777778,1,0,0,calibration_square,0,8,8,10,1,0.15,0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.807407407,-0.450925926,1,0,0,calibration_square,0,9,9,16,1,-0.45,-0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.807407407,0.456481481,1,0,0,calibration_square,0,10,10,19,1,-0.45,0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.8,0.451851852,1,0,0,calibration_square,0,11,11,12,1,-0.45,0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.273148148,-0.449074074,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.798148148,0.446296296,1,0,0,calibration_square,0,13,13,15,1,0.45,0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.265740741,-0.451851852,1,0,0,calibration_square,0,14,14,1,1,-0.15,-0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.265740741,-0.143518519,1,0,0,calibration_square,0,15,15,6,1,0.15,-0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.794444444,-0.446296296,1,0,0,calibration_square,0,16,16,0,1,-0.45,-0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.260185185,-0.149074074,1,0,0,calibration_square,0,17,17,5,1,-0.15,-0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,0.802777778,-0.45,1,0,0,calibration_square,0,18,18,17,1,0.45,-0.45,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
,,,,,-0.803703704,-0.15,1,0,0,calibration_square,0,19,19,4,1,-0.45,-0.15,cfsfsd,001,2022-03-29_11h07.11.106,demo_eye_tracking2,2021.1.4,Win32,75.14277127
