mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.082783203,-0.264023438,1,0,0,-0.239257813,-0.452011719,1,0,0,calibration_square,0,0,0,1,1,-0.15,-0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.716918945,-0.44496582,1,0,0,calibration_square,0,1,1,17,1,0.45,-0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.243574219,-0.449257813,1,0,0,calibration_square,0,2,2,2,1,0.15,-0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.722265625,-0.145322266,1,0,0,calibration_square,0,3,3,7,1,0.45,-0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.2434375,0.150043945,1,0,0,calibration_square,0,4,4,10,1,0.15,0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.249819336,-0.148193359,1,0,0,calibration_square,0,5,5,6,1,0.15,-0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.719643555,-0.457988281,1,0,0,calibration_square,0,6,6,0,1,-0.45,-0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.720532227,-0.150844727,1,0,0,calibration_square,0,7,7,4,1,-0.45,-0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.715527344,0.448671875,1,0,0,calibration_square,0,8,8,15,1,0.45,0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.725249023,0.444833984,1,0,0,calibration_square,0,9,9,19,1,-0.45,0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.241938477,0.455703125,1,0,0,calibration_square,0,10,10,13,1,-0.15,0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.717075195,0.149609375,1,0,0,calibration_square,0,11,11,11,1,0.45,0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.716337891,-0.444453125,1,0,0,calibration_square,0,12,12,16,1,-0.45,-0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.720444336,-0.446367187,1,0,0,calibration_square,0,13,13,3,1,0.45,-0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.237963867,0.455649414,1,0,0,calibration_square,0,14,14,14,1,0.15,0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.720878906,0.157866211,1,0,0,calibration_square,0,15,15,8,1,-0.45,0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.232553711,0.151831055,1,0,0,calibration_square,0,16,16,9,1,-0.15,0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.721777344,0.45284668,1,0,0,calibration_square,0,17,17,12,1,-0.45,0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.241879883,-0.140742188,1,0,0,calibration_square,0,18,18,5,1,-0.15,-0.15,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.712333984,0.455825195,1,0,0,calibration_square,0,19,19,18,1,0.45,0.45,dsd,001,2021-07-05_02h32.52.148,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
