mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.027010995,-0.276573351,1,0,0,0.806535735,-0.450683594,1,0,0,calibration_square,0,0,0,3,1,0.45,-0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.264695457,0.449254919,1,0,0,calibration_square,0,1,1,13,1,-0.15,0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.260217737,-0.448596644,1,0,0,calibration_square,0,2,2,2,1,0.15,-0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.272956453,-0.154032841,1,0,0,calibration_square,0,3,3,5,1,-0.15,-0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.270167824,0.153804977,1,0,0,calibration_square,0,4,4,9,1,-0.15,0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.801320168,0.45078125,1,0,0,calibration_square,0,5,5,15,1,0.45,0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.260445602,0.450575087,1,0,0,calibration_square,0,6,6,14,1,0.15,0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.794003183,-0.153175637,1,0,0,calibration_square,0,7,7,7,1,0.45,-0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.798473669,0.145583767,1,0,0,calibration_square,0,8,8,11,1,0.45,0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.799027054,-0.447800926,1,0,0,calibration_square,0,9,9,0,1,-0.45,-0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.26703559,-0.155913628,1,0,0,calibration_square,0,10,10,6,1,0.15,-0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.795865885,0.450383391,1,0,0,calibration_square,0,11,11,19,1,-0.45,0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.796733941,-0.155721933,1,0,0,calibration_square,0,12,12,4,1,-0.45,-0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.266670284,0.154050926,1,0,0,calibration_square,0,13,13,10,1,0.15,0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.796784578,0.452325666,1,0,0,calibration_square,0,14,14,18,1,0.45,0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.800792101,-0.443811487,1,0,0,calibration_square,0,15,15,16,1,-0.45,-0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.794581887,0.448640046,1,0,0,calibration_square,0,16,16,12,1,-0.45,0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.80968967,0.146878617,1,0,0,calibration_square,0,17,17,8,1,-0.45,0.15,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,-0.262619358,-0.448940249,1,0,0,calibration_square,0,18,18,1,1,-0.15,-0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
,,,,,0.809219473,-0.452991175,1,0,0,calibration_square,0,19,19,17,1,0.45,-0.45,ee,001,2021-06-16_03h14.17.216,demo_eye_tracking2,2021.1.4,MacIntel,59.94125757
