mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0,0.198333333,1,0,0,0.343333333,0.45,1,0,0,calibration_square,0,0,0,14,1,0.15,0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-0.34,-0.456666667,1,0,0,calibration_square,0,1,1,1,1,-0.15,-0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-1.021666667,-0.451666667,1,0,0,calibration_square,0,2,2,0,1,-0.45,-0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-1.025,0.148333333,1,0,0,calibration_square,0,3,3,8,1,-0.45,0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,1.026666667,0.448333333,1,0,0,calibration_square,0,4,4,18,1,0.45,0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,1.026666667,0.448333333,1,0,0,calibration_square,0,5,5,15,1,0.45,0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,1.028333333,0.151666667,1,0,0,calibration_square,0,6,6,11,1,0.45,0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,0.34,-0.15,1,0,0,calibration_square,0,7,7,6,1,0.15,-0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-1.021666667,0.45,1,0,0,calibration_square,0,8,8,19,1,-0.45,0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,1.028333333,-0.146666667,1,0,0,calibration_square,0,9,9,7,1,0.45,-0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,1.021666667,-0.448333333,1,0,0,calibration_square,0,10,10,17,1,0.45,-0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-1.028333333,-0.446666667,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,0.338333333,-0.458333333,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-1.026666667,-0.15,1,0,0,calibration_square,0,13,13,4,1,-0.45,-0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-0.343333333,-0.155,1,0,0,calibration_square,0,14,14,5,1,-0.15,-0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,1.026666667,-0.45,1,0,0,calibration_square,0,15,15,3,1,0.45,-0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-0.338333333,0.445,1,0,0,calibration_square,0,16,16,13,1,-0.15,0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-1.023333333,0.453333333,1,0,0,calibration_square,0,17,17,12,1,-0.45,0.45,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,0.341666667,0.148333333,1,0,0,calibration_square,0,18,18,10,1,0.15,0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
,,,,,-0.34,0.15,1,0,0,calibration_square,0,19,19,9,1,-0.15,0.15,fifi,001,2021-12-15_15h12.26.268,demo_eye_tracking2,2021.1.4,Win32,40.04324671
