mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.118238994,-0.308805031,1,0,0,0.812578616,0.150314465,1,0,0,calibration_square,0,0,0,11,1,0.45,0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.821383648,-0.145283019,1,0,0,calibration_square,0,1,1,7,1,0.45,-0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.816352201,0.144025157,1,0,0,calibration_square,0,2,2,8,1,-0.45,0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.274213836,0.146540881,1,0,0,calibration_square,0,3,3,9,1,-0.15,0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.820125786,-0.452201258,1,0,0,calibration_square,0,4,4,17,1,0.45,-0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.811320755,0.454716981,1,0,0,calibration_square,0,5,5,18,1,0.45,0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.267924528,0.152830189,1,0,0,calibration_square,0,6,6,10,1,0.15,0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.818867925,-0.452201258,1,0,0,calibration_square,0,7,7,0,1,-0.45,-0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.264150943,-0.455974843,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.818867925,-0.15408805,1,0,0,calibration_square,0,9,9,4,1,-0.45,-0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.818867925,0.442138365,1,0,0,calibration_square,0,10,10,15,1,0.45,0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.275471698,-0.156603774,1,0,0,calibration_square,0,11,11,6,1,0.15,-0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.822641509,-0.450943396,1,0,0,calibration_square,0,12,12,16,1,-0.45,-0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.270440252,0.452201258,1,0,0,calibration_square,0,13,13,14,1,0.15,0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.816352201,0.452201258,1,0,0,calibration_square,0,14,14,19,1,-0.45,0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.279245283,0.458490566,1,0,0,calibration_square,0,15,15,13,1,-0.15,0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.277987421,-0.149056604,1,0,0,calibration_square,0,16,16,5,1,-0.15,-0.15,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.271698113,-0.455974843,1,0,0,calibration_square,0,17,17,2,1,0.15,-0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,0.81509434,-0.453459119,1,0,0,calibration_square,0,18,18,3,1,0.45,-0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
,,,,,-0.817610063,0.452201258,1,0,0,calibration_square,0,19,19,12,1,-0.45,0.45,gfgh,001,2022-07-16_01h28.07.838,demo_eye_tracking2,2021.1.4,MacIntel,28.57142857
