mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.612466125,-0.025745257,1,0,0,0.840108401,-0.150406504,1,0,0,calibration_square,0,0,0,7,1,0.45,-0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.842818428,-0.455284553,1,0,0,calibration_square,0,1,1,0,1,-0.45,-0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.845528455,-0.453929539,1,0,0,calibration_square,0,2,2,16,1,-0.45,-0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.280487805,0.449864499,1,0,0,calibration_square,0,3,3,14,1,0.15,0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.840108401,0.443089431,1,0,0,calibration_square,0,4,4,12,1,-0.45,0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.842818428,0.149051491,1,0,0,calibration_square,0,5,5,8,1,-0.45,0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.842818428,0.147696477,1,0,0,calibration_square,0,6,6,11,1,0.45,0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.280487805,0.453929539,1,0,0,calibration_square,0,7,7,13,1,-0.15,0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.845528455,-0.149051491,1,0,0,calibration_square,0,8,8,4,1,-0.45,-0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.283197832,0.14498645,1,0,0,calibration_square,0,9,9,10,1,0.15,0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.846883469,0.451219512,1,0,0,calibration_square,0,10,10,15,1,0.45,0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.844173442,-0.451219512,1,0,0,calibration_square,0,11,11,3,1,0.45,-0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.280487805,-0.153116531,1,0,0,calibration_square,0,12,12,5,1,-0.15,-0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.280487805,0.151761518,1,0,0,calibration_square,0,13,13,9,1,-0.15,0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.845528455,0.452574526,1,0,0,calibration_square,0,14,14,19,1,-0.45,0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.280487805,-0.445799458,1,0,0,calibration_square,0,15,15,1,1,-0.15,-0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.849593496,-0.455284553,1,0,0,calibration_square,0,16,16,17,1,0.45,-0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.280487805,-0.153116531,1,0,0,calibration_square,0,17,17,6,1,0.15,-0.15,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.844173442,0.445799458,1,0,0,calibration_square,0,18,18,18,1,0.45,0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.280487805,-0.455284553,1,0,0,calibration_square,0,19,19,2,1,0.15,-0.45,gsmm,001,2021-04-23_14h31.03.451,demo_eye_tracking2,2020.2.5,MacIntel,60
