mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.106481511,0.063888876,1,0,0,0.800926089,0.14999999,1,0,0,calibration_square,0,0,0,11,1,0.45,0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.799999997,-0.446296381,1,0,0,calibration_square,0,1,1,0,1,-0.45,-0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.806481645,0.45185185,1,0,0,calibration_square,0,2,2,18,1,0.45,0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.802777828,-0.441666695,1,0,0,calibration_square,0,3,3,3,1,0.45,-0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.799074124,0.453703699,1,0,0,calibration_square,0,4,4,15,1,0.45,0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.270370405,0.447222221,1,0,0,calibration_square,0,5,5,14,1,0.15,0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.800925923,-0.150925945,1,0,0,calibration_square,0,6,6,4,1,-0.45,-0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.801851849,0.448148143,1,0,0,calibration_square,0,7,7,12,1,-0.45,0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.801851849,0.448148143,1,0,0,calibration_square,0,8,8,19,1,-0.45,0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.263888923,0.148148138,1,0,0,calibration_square,0,9,9,10,1,0.15,0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.800925923,-0.444444473,1,0,0,calibration_square,0,10,10,16,1,-0.45,-0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.269444426,-0.142592612,1,0,0,calibration_square,0,11,11,5,1,-0.15,-0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.796296286,0.153703693,1,0,0,calibration_square,0,12,12,8,1,-0.45,0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.80000005,-0.146296316,1,0,0,calibration_square,0,13,13,7,1,0.45,-0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.268518553,-0.452777806,1,0,0,calibration_square,0,14,14,2,1,0.15,-0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.27314813,-0.443518603,1,0,0,calibration_square,0,15,15,1,1,-0.15,-0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.272222204,0.452777776,1,0,0,calibration_square,0,16,16,13,1,-0.15,0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.269444426,0.148148138,1,0,0,calibration_square,0,17,17,9,1,-0.15,0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.262037071,-0.147222242,1,0,0,calibration_square,0,18,18,6,1,0.15,-0.15,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.793518569,-0.444444473,1,0,0,calibration_square,0,19,19,17,1,0.45,-0.45,h5,001,2021-02-11_20h24.29.125,demo_eye_tracking2,2020.2.5,Win32,60
