mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.032695312,0.001923828,1,0,0,-0.238686523,-0.450048828,1,0,0,calibration_square,0,0,0,1,1,-0.15,-0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.236152344,0.44996582,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720249023,0.146762695,1,0,0,calibration_square,0,2,2,8,1,-0.45,0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.234394531,0.152539062,1,0,0,calibration_square,0,3,3,9,1,-0.15,0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.716176758,0.450019531,1,0,0,calibration_square,0,4,4,18,1,0.45,0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.717832031,-0.141904297,1,0,0,calibration_square,0,5,5,7,1,0.45,-0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.239624023,-0.450883789,1,0,0,calibration_square,0,6,6,2,1,0.15,-0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.722246094,-0.149980469,1,0,0,calibration_square,0,7,7,4,1,-0.45,-0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.724350586,0.452602539,1,0,0,calibration_square,0,8,8,12,1,-0.45,0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.722890625,-0.444277344,1,0,0,calibration_square,0,9,9,0,1,-0.45,-0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.719296875,0.157504883,1,0,0,calibration_square,0,10,10,11,1,0.45,0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720849609,-0.4478125,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.243920898,0.454335938,1,0,0,calibration_square,0,12,12,13,1,-0.15,0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.237192383,0.157124023,1,0,0,calibration_square,0,13,13,10,1,0.15,0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.23440918,-0.144448242,1,0,0,calibration_square,0,14,14,6,1,0.15,-0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.711762695,0.459741211,1,0,0,calibration_square,0,15,15,15,1,0.45,0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.710649414,-0.441254883,1,0,0,calibration_square,0,16,16,3,1,0.45,-0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.720019531,-0.444174805,1,0,0,calibration_square,0,17,17,17,1,0.45,-0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.71621582,0.456616211,1,0,0,calibration_square,0,18,18,19,1,-0.45,0.45,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.242587891,-0.143256836,1,0,0,calibration_square,0,19,19,5,1,-0.15,-0.15,h,001,2021-04-04_23h08.19.230,demo_eye_tracking2,2020.2.5,MacIntel,60
