mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.090740797,-0.120370399,1,0,0,-0.274074046,0.152777778,1,0,0,calibration_square,0,0,0,9,1,-0.15,0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.26851849,-0.45,1,0,0,calibration_square,0,1,1,1,1,-0.15,-0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.799074131,0.156481467,1,0,0,calibration_square,0,2,2,11,1,0.45,0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.265740712,-0.153703732,1,0,0,calibration_square,0,3,3,5,1,-0.15,-0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.260185242,-0.15648151,1,0,0,calibration_square,0,4,4,6,1,0.15,-0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.801851908,0.456481481,1,0,0,calibration_square,0,5,5,15,1,0.45,0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.803703817,-0.446296353,1,0,0,calibration_square,0,6,6,3,1,0.45,-0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.791666667,0.458333333,1,0,0,calibration_square,0,7,7,18,1,0.45,0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.262037065,0.447222222,1,0,0,calibration_square,0,8,8,14,1,0.15,0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.8,-0.45648151,1,0,0,calibration_square,0,9,9,0,1,-0.45,-0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.262037023,0.455555556,1,0,0,calibration_square,0,10,10,13,1,-0.15,0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.80185185,-0.455555556,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.273148176,-0.449074131,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.801851908,-0.148148176,1,0,0,calibration_square,0,13,13,7,1,0.45,-0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.805555556,-0.145370399,1,0,0,calibration_square,0,14,14,4,1,-0.45,-0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.798148145,0.145370356,1,0,0,calibration_square,0,15,15,8,1,-0.45,0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.262963019,0.147222222,1,0,0,calibration_square,0,16,16,10,1,0.15,0.15,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,0.801851908,-0.448148176,1,0,0,calibration_square,0,17,17,17,1,0.45,-0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.798148145,0.457407406,1,0,0,calibration_square,0,18,18,12,1,-0.45,0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
,,,,,-0.798148145,0.457407406,1,0,0,calibration_square,0,19,19,19,1,-0.45,0.45,kaet,001,2022-06-08_01h18.12.167,demo_eye_tracking2,2021.1.4,Win32,59.7335882
