mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.233893229,0.053194444,1,0,0,-0.244605035,-0.456427951,1,0,0,calibration_square,0,0,0,1,1,-0.15,-0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.235863715,-0.151588542,1,0,0,calibration_square,0,1,1,5,1,-0.15,-0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.722287326,0.442065972,1,0,0,calibration_square,0,2,2,15,1,0.45,0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.713997396,-0.154891493,1,0,0,calibration_square,0,3,3,4,1,-0.45,-0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.716931424,-0.447291667,1,0,0,calibration_square,0,4,4,0,1,-0.45,-0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.721171875,-0.450985243,1,0,0,calibration_square,0,5,5,3,1,0.45,-0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.716488715,0.149578993,1,0,0,calibration_square,0,6,6,8,1,-0.45,0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.71499566,0.445672743,1,0,0,calibration_square,0,7,7,19,1,-0.45,0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.719592014,0.144175347,1,0,0,calibration_square,0,8,8,11,1,0.45,0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.716458333,0.44125434,1,0,0,calibration_square,0,9,9,12,1,-0.45,0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.723133681,0.44859375,1,0,0,calibration_square,0,10,10,18,1,0.45,0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.238346354,0.449952257,1,0,0,calibration_square,0,11,11,13,1,-0.15,0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.242994792,0.450225694,1,0,0,calibration_square,0,12,12,14,1,0.15,0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.722569444,-0.450967882,1,0,0,calibration_square,0,13,13,16,1,-0.45,-0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.246649306,-0.452196181,1,0,0,calibration_square,0,14,14,2,1,0.15,-0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.715525174,-0.453398437,1,0,0,calibration_square,0,15,15,17,1,0.45,-0.45,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.720542535,-0.146827257,1,0,0,calibration_square,0,16,16,7,1,0.45,-0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.245212674,-0.151236979,1,0,0,calibration_square,0,17,17,6,1,0.15,-0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.246115451,0.143728299,1,0,0,calibration_square,0,18,18,9,1,-0.15,0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.234427083,0.154014757,1,0,0,calibration_square,0,19,19,10,1,0.15,0.15,max,001,2022-01-25_11h50.00.348,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
