mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.068193359,-0.254624023,1,0,0,-0.714003906,-0.15277832,1,0,0,calibration_square,0,0,0,4,1,-0.45,-0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.242041016,0.444594727,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.71918457,0.452231445,1,0,0,calibration_square,0,2,2,15,1,0.45,0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.718076172,-0.447485352,1,0,0,calibration_square,0,3,3,16,1,-0.45,-0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.721259766,0.455107422,1,0,0,calibration_square,0,4,4,12,1,-0.45,0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.719560547,0.453398437,1,0,0,calibration_square,0,5,5,19,1,-0.45,0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722216797,0.448496094,1,0,0,calibration_square,0,6,6,18,1,0.45,0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.236933594,0.151796875,1,0,0,calibration_square,0,7,7,10,1,0.15,0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.723066406,0.151567383,1,0,0,calibration_square,0,8,8,11,1,0.45,0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.241542969,-0.448554687,1,0,0,calibration_square,0,9,9,2,1,0.15,-0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.239951172,-0.450615234,1,0,0,calibration_square,0,10,10,1,1,-0.15,-0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.238310547,0.150146484,1,0,0,calibration_square,0,11,11,9,1,-0.15,0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.720131836,-0.448852539,1,0,0,calibration_square,0,12,12,17,1,0.45,-0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.238017578,-0.148676758,1,0,0,calibration_square,0,13,13,5,1,-0.15,-0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.716811523,-0.442680664,1,0,0,calibration_square,0,14,14,0,1,-0.45,-0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.721577148,-0.447587891,1,0,0,calibration_square,0,15,15,3,1,0.45,-0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.721430664,-0.148525391,1,0,0,calibration_square,0,16,16,7,1,0.45,-0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.244155273,0.450649414,1,0,0,calibration_square,0,17,17,13,1,-0.15,0.45,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.24015625,-0.147348633,1,0,0,calibration_square,0,18,18,6,1,0.15,-0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.717783203,0.150234375,1,0,0,calibration_square,0,19,19,8,1,-0.45,0.15,nn,001,2021-04-04_23h01.46.518,demo_eye_tracking2,2020.2.5,MacIntel,60
