mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.283811475,-0.027663934,1,0,0,-0.882172131,-0.445696721,1,0,0,calibration_square,0,0,0,0,1,-0.45,-0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.886270492,0.146516393,1,0,0,calibration_square,0,1,1,8,1,-0.45,0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.890368852,-0.149590164,1,0,0,calibration_square,0,2,2,4,1,-0.45,-0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.889344262,-0.451844262,1,0,0,calibration_square,0,3,3,17,1,0.45,-0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.297131148,0.154713115,1,0,0,calibration_square,0,4,4,10,1,0.15,0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.288934426,-0.148565574,1,0,0,calibration_square,0,5,5,6,1,0.15,-0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.295081967,0.146516393,1,0,0,calibration_square,0,6,6,9,1,-0.15,0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.880122951,0.450819672,1,0,0,calibration_square,0,7,7,15,1,0.45,0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.885245902,0.450819672,1,0,0,calibration_square,0,8,8,12,1,-0.45,0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.890368852,0.148565574,1,0,0,calibration_square,0,9,9,11,1,0.45,0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.296106557,-0.154713115,1,0,0,calibration_square,0,10,10,5,1,-0.15,-0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.301229508,-0.450819672,1,0,0,calibration_square,0,11,11,1,1,-0.15,-0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.881147541,-0.452868852,1,0,0,calibration_square,0,12,12,3,1,0.45,-0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.885245902,-0.150614754,1,0,0,calibration_square,0,13,13,7,1,0.45,-0.15,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.300204918,0.445696721,1,0,0,calibration_square,0,14,14,14,1,0.15,0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.293032787,-0.448770492,1,0,0,calibration_square,0,15,15,2,1,0.15,-0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.884221311,0.441598361,1,0,0,calibration_square,0,16,16,19,1,-0.45,0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.890368852,0.450819672,1,0,0,calibration_square,0,17,17,18,1,0.45,0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.301229508,0.448770492,1,0,0,calibration_square,0,18,18,13,1,-0.15,0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.87704918,-0.448770492,1,0,0,calibration_square,0,19,19,16,1,-0.45,-0.45,ntest,001,2020-11-05_11h59.57.398,demo_eye_tracking2,2020.2.5,Win32,60
