mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.323148279,0.337962961,1,0,0,-0.804629628,0.451851848,1,0,0,calibration_square,0,0,0,19,1,-0.45,0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.264814832,0.44537037,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.268518509,-0.152777788,1,0,0,calibration_square,0,2,2,5,1,-0.15,-0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.805555554,-0.454629644,1,0,0,calibration_square,0,3,3,0,1,-0.45,-0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.264814832,-0.150000066,1,0,0,calibration_square,0,4,4,6,1,0.15,-0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.269444462,0.149074069,1,0,0,calibration_square,0,5,5,10,1,0.15,0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.799999999,0.149074069,1,0,0,calibration_square,0,6,6,8,1,-0.45,0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.274074065,0.146296291,1,0,0,calibration_square,0,7,7,9,1,-0.15,0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.266666601,-0.45092594,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.801851843,-0.454629644,1,0,0,calibration_square,0,9,9,16,1,-0.45,-0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.26296298,-0.447222236,1,0,0,calibration_square,0,10,10,2,1,0.15,-0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.799074099,0.143518513,1,0,0,calibration_square,0,11,11,11,1,0.45,0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.801851877,-0.450000014,1,0,0,calibration_square,0,12,12,3,1,0.45,-0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.801851877,-0.450000014,1,0,0,calibration_square,0,13,13,17,1,0.45,-0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.801851843,0.44537037,1,0,0,calibration_square,0,14,14,12,1,-0.45,0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.799074099,0.451851848,1,0,0,calibration_square,0,15,15,15,1,0.45,0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.796296295,-0.148148158,1,0,0,calibration_square,0,16,16,4,1,-0.45,-0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,-0.270370361,0.449999999,1,0,0,calibration_square,0,17,17,13,1,-0.15,0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.800000138,-0.147222232,1,0,0,calibration_square,0,18,18,7,1,0.45,-0.15,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
,,,,,0.798148173,0.44537037,1,0,0,calibration_square,0,19,19,18,1,0.45,0.45,sdqsd,001,2021-12-15_14h25.27.797,demo_eye_tracking2,2021.1.4,Win32,60.24096386
