mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.00625,0.099305556,1,0,0,-0.805555556,-0.440972222,1,0,0,calibration_square,0,0,0,16,1,-0.45,-0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.795138889,0.454166667,1,0,0,calibration_square,0,1,1,15,1,0.45,0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.8,0.447916667,1,0,0,calibration_square,0,2,2,18,1,0.45,0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.804166667,-0.448611111,1,0,0,calibration_square,0,3,3,0,1,-0.45,-0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.263888889,-0.448611111,1,0,0,calibration_square,0,4,4,2,1,0.15,-0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.803472222,0.155555556,1,0,0,calibration_square,0,5,5,8,1,-0.45,0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.794444444,0.454166667,1,0,0,calibration_square,0,6,6,19,1,-0.45,0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.799305556,-0.147222222,1,0,0,calibration_square,0,7,7,7,1,0.45,-0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.804166667,0.452777778,1,0,0,calibration_square,0,8,8,12,1,-0.45,0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.799305556,-0.151388889,1,0,0,calibration_square,0,9,9,4,1,-0.45,-0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.271527778,-0.153472222,1,0,0,calibration_square,0,10,10,6,1,0.15,-0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.806944444,-0.446527778,1,0,0,calibration_square,0,11,11,3,1,0.45,-0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.26875,0.156944444,1,0,0,calibration_square,0,12,12,10,1,0.15,0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.267361111,0.454166667,1,0,0,calibration_square,0,13,13,14,1,0.15,0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.274305556,0.147916667,1,0,0,calibration_square,0,14,14,9,1,-0.15,0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.266666667,0.446527778,1,0,0,calibration_square,0,15,15,13,1,-0.15,0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.267361111,-0.448611111,1,0,0,calibration_square,0,16,16,1,1,-0.15,-0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.805555556,0.152083333,1,0,0,calibration_square,0,17,17,11,1,0.45,0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,0.807638889,-0.449305556,1,0,0,calibration_square,0,18,18,17,1,0.45,-0.45,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
,,,,,-0.272916667,-0.152777778,1,0,0,calibration_square,0,19,19,5,1,-0.15,-0.15,t,001,2022-06-24_20h37.30.123,demo_eye_tracking2,2021.1.4,Win32,172.1170396
