mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.436111151,0.015740726,1,0,0,0.801851902,-0.156481501,1,0,0,calibration_square,0,0,0,7,1,0.45,-0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.799999997,0.450925921,1,0,0,calibration_square,0,1,1,19,1,-0.45,0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.803703701,-0.147222242,1,0,0,calibration_square,0,2,2,4,1,-0.45,-0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.268518553,-0.444444473,1,0,0,calibration_square,0,3,3,2,1,0.15,-0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.803703867,-0.450925954,1,0,0,calibration_square,0,4,4,17,1,0.45,-0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.262037071,0.154629619,1,0,0,calibration_square,0,5,5,10,1,0.15,0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.800925923,0.156481471,1,0,0,calibration_square,0,6,6,8,1,-0.45,0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.808333331,-0.448148176,1,0,0,calibration_square,0,7,7,16,1,-0.45,-0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.795370534,0.45185185,1,0,0,calibration_square,0,8,8,18,1,0.45,0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.795370534,0.45185185,1,0,0,calibration_square,0,9,9,15,1,0.45,0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.800925923,0.455555554,1,0,0,calibration_square,0,10,10,12,1,-0.45,0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.264814796,0.446296295,1,0,0,calibration_square,0,11,11,13,1,-0.15,0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.266666648,-0.450925954,1,0,0,calibration_square,0,12,12,1,1,-0.15,-0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.80462968,0.14999999,1,0,0,calibration_square,0,13,13,11,1,0.45,0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.806481479,-0.449074102,1,0,0,calibration_square,0,14,14,0,1,-0.45,-0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.27314813,-0.150000019,1,0,0,calibration_square,0,15,15,5,1,-0.15,-0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.80462968,-0.445370399,1,0,0,calibration_square,0,16,16,3,1,0.45,-0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.270370352,0.153703693,1,0,0,calibration_square,0,17,17,9,1,-0.15,0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.266666701,-0.146296316,1,0,0,calibration_square,0,18,18,6,1,0.15,-0.15,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.267592627,0.450925921,1,0,0,calibration_square,0,19,19,14,1,0.15,0.45,ww,001,2021-01-22_11h52.39.118,demo_eye_tracking2,2020.2.5,Win32,60
