mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.0871875,-0.291103516,1,0,0,-0.581396484,0.153242187,1,0,0,calibration_square,0,0,0,8,1,-0.45,0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.580405273,0.148505859,1,0,0,calibration_square,0,1,1,11,1,0.45,0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.193681641,0.145493164,1,0,0,calibration_square,0,2,2,9,1,-0.15,0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.583525391,-0.155258789,1,0,0,calibration_square,0,3,3,4,1,-0.45,-0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.192070313,-0.450444336,1,0,0,calibration_square,0,4,4,2,1,0.15,-0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.585561523,-0.451069336,1,0,0,calibration_square,0,5,5,16,1,-0.45,-0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.589194336,-0.447211914,1,0,0,calibration_square,0,6,6,0,1,-0.45,-0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.585473633,0.446791992,1,0,0,calibration_square,0,7,7,18,1,0.45,0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.20190918,-0.453217773,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.579858398,-0.153032227,1,0,0,calibration_square,0,9,9,7,1,0.45,-0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.194267578,0.453261719,1,0,0,calibration_square,0,10,10,13,1,-0.15,0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.584018555,-0.443974609,1,0,0,calibration_square,0,11,11,17,1,0.45,-0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.193837891,0.145522461,1,0,0,calibration_square,0,12,12,10,1,0.15,0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.584951172,0.443154297,1,0,0,calibration_square,0,13,13,15,1,0.45,0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.197055664,-0.151494141,1,0,0,calibration_square,0,14,14,5,1,-0.15,-0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.587177734,0.454077148,1,0,0,calibration_square,0,15,15,12,1,-0.45,0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.197016602,0.452172852,1,0,0,calibration_square,0,16,16,14,1,0.15,0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.193129883,-0.145654297,1,0,0,calibration_square,0,17,17,6,1,0.15,-0.15,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.584277344,0.452080078,1,0,0,calibration_square,0,18,18,19,1,-0.45,0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.590039063,-0.446386719,1,0,0,calibration_square,0,19,19,3,1,0.45,-0.45,zx,001,2021-07-02_16h08.08.425,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
