mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.224074091,-0.334259272,1,0,0,-0.800462962,0.454166662,1,0,0,calibration_square,0,0,0,12,1,-0.45,0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.798611136,0.145370365,1,0,0,calibration_square,0,1,1,11,1,0.45,0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.808333332,-0.451388903,1,0,0,calibration_square,0,2,2,0,1,-0.45,-0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.805555581,-0.443981552,1,0,0,calibration_square,0,3,3,17,1,0.45,-0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.266203694,-0.144907417,1,0,0,calibration_square,0,4,4,5,1,-0.15,-0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.806018517,-0.143981491,1,0,0,calibration_square,0,5,5,4,1,-0.45,-0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.805092618,-0.447685199,1,0,0,calibration_square,0,6,6,3,1,0.45,-0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.263888906,-0.149074084,1,0,0,calibration_square,0,7,7,6,1,0.15,-0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.275462954,-0.449537051,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.799537062,0.455555555,1,0,0,calibration_square,0,9,9,18,1,0.45,0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.798148147,0.153703699,1,0,0,calibration_square,0,10,10,8,1,-0.45,0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.799999999,-0.445833347,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.265277795,-0.441666737,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.26712962,0.153240736,1,0,0,calibration_square,0,13,13,9,1,-0.15,0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.795833358,-0.148611121,1,0,0,calibration_square,0,14,14,7,1,0.45,-0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.26712962,0.449537033,1,0,0,calibration_square,0,15,15,13,1,-0.15,0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.263888906,0.446296295,1,0,0,calibration_square,0,16,16,14,1,0.15,0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.795833332,0.456018518,1,0,0,calibration_square,0,17,17,19,1,-0.45,0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.265740758,0.14768518,1,0,0,calibration_square,0,18,18,10,1,0.15,0.15,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.79444447,0.454629629,1,0,0,calibration_square,0,19,19,15,1,0.45,0.45,7,001,2021-04-20_09h26.13.669,demo_eye_tracking2,2020.2.5,Win32,60
