mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.037914923,-0.014817534,1,0,0,0.723337984,-0.453825858,1,0,0,calibration_square,0,0,0,3,1,0.45,-0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.724944894,-0.448719482,1,0,0,calibration_square,0,1,1,17,1,0.45,-0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.240069057,0.453923383,1,0,0,calibration_square,0,2,2,14,1,0.15,0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.716950378,-0.454500209,1,0,0,calibration_square,0,3,3,16,1,-0.45,-0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.234083891,0.448400806,1,0,0,calibration_square,0,4,4,13,1,-0.15,0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.718007231,0.149300101,1,0,0,calibration_square,0,5,5,11,1,0.45,0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.238897531,-0.151016439,1,0,0,calibration_square,0,6,6,5,1,-0.15,-0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.241710844,0.141477603,1,0,0,calibration_square,0,7,7,10,1,0.15,0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.236467401,0.151189982,1,0,0,calibration_square,0,8,8,9,1,-0.15,0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.238972517,-0.447728678,1,0,0,calibration_square,0,9,9,2,1,0.15,-0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.723321373,-0.147840286,1,0,0,calibration_square,0,10,10,4,1,-0.45,-0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.72175851,0.441523728,1,0,0,calibration_square,0,11,11,15,1,0.45,0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.242956659,-0.449277111,1,0,0,calibration_square,0,12,12,1,1,-0.15,-0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.725882743,0.451855803,1,0,0,calibration_square,0,13,13,18,1,0.45,0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.721382548,0.446255203,1,0,0,calibration_square,0,14,14,12,1,-0.45,0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.723293937,0.15237325,1,0,0,calibration_square,0,15,15,8,1,-0.45,0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.714025356,0.452123064,1,0,0,calibration_square,0,16,16,19,1,-0.45,0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.714022972,-0.14770502,1,0,0,calibration_square,0,17,17,7,1,0.45,-0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.248899042,-0.144824858,1,0,0,calibration_square,0,18,18,6,1,0.15,-0.15,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.71642847,-0.452981887,1,0,0,calibration_square,0,19,19,0,1,-0.45,-0.45,Alessio,001,2022-09-16_16h02.06.791,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
