mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.0390625,-0.166666667,1,0,0,-0.798177083,-0.151041667,1,0,0,calibration_square,0,0,0,4,1,-0.45,-0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.263020833,0.44921875,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.802083333,0.459635417,1,0,0,calibration_square,0,2,2,19,1,-0.45,0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.802083333,0.145833333,1,0,0,calibration_square,0,3,3,11,1,0.45,0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.274739583,-0.147135417,1,0,0,calibration_square,0,4,4,6,1,0.15,-0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.795572917,0.45703125,1,0,0,calibration_square,0,5,5,15,1,0.45,0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.266927083,-0.454427083,1,0,0,calibration_square,0,6,6,1,1,-0.15,-0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.266927083,0.153645833,1,0,0,calibration_square,0,7,7,9,1,-0.15,0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.794270833,-0.447916667,1,0,0,calibration_square,0,8,8,3,1,0.45,-0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.796875,0.451822917,1,0,0,calibration_square,0,9,9,18,1,0.45,0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.805989583,-0.1484375,1,0,0,calibration_square,0,10,10,7,1,0.45,-0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.79296875,0.455729167,1,0,0,calibration_square,0,11,11,12,1,-0.45,0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.263020833,-0.447916667,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.8046875,0.149739583,1,0,0,calibration_square,0,13,13,8,1,-0.45,0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.798177083,-0.45703125,1,0,0,calibration_square,0,14,14,17,1,0.45,-0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.805989583,-0.450520833,1,0,0,calibration_square,0,15,15,0,1,-0.45,-0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.8046875,-0.44921875,1,0,0,calibration_square,0,16,16,16,1,-0.45,-0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.26953125,0.453125,1,0,0,calibration_square,0,17,17,13,1,-0.15,0.45,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,-0.272135417,-0.14453125,1,0,0,calibration_square,0,18,18,5,1,-0.15,-0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
,,,,,0.26953125,0.14453125,1,0,0,calibration_square,0,19,19,10,1,0.15,0.15,Bill,001,2021-05-26_15h32.28.076,demo_eye_tracking2,2021.1.4,Win32,59.93766483
