mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate,fbclid
-0.14344122,0.043939732,1,0,0,0.716138393,-0.444296875,1,0,0,calibration_square,0,0,0,3,1,0.45,-0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.719601935,0.443396577,1,0,0,calibration_square,0,1,1,18,1,0.45,0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.241000744,0.452831101,1,0,0,calibration_square,0,2,2,13,1,-0.15,0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.720792411,-0.449561012,1,0,0,calibration_square,0,3,3,0,1,-0.45,-0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.719233631,-0.146424851,1,0,0,calibration_square,0,4,4,7,1,0.45,-0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.723415179,0.143214286,1,0,0,calibration_square,0,5,5,11,1,0.45,0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.241804315,-0.1559375,1,0,0,calibration_square,0,6,6,6,1,0.15,-0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.723523065,-0.445647321,1,0,0,calibration_square,0,7,7,17,1,0.45,-0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.23906994,-0.457529762,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.721290923,0.449043899,1,0,0,calibration_square,0,9,9,19,1,-0.45,0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.241547619,0.149412202,1,0,0,calibration_square,0,10,10,9,1,-0.15,0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.719765625,-0.453374256,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.721930804,0.148642113,1,0,0,calibration_square,0,12,12,8,1,-0.45,0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.242916667,0.146666667,1,0,0,calibration_square,0,13,13,10,1,0.15,0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.725014881,0.447313988,1,0,0,calibration_square,0,14,14,12,1,-0.45,0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.242916667,-0.149642857,1,0,0,calibration_square,0,15,15,5,1,-0.15,-0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,-0.721019345,-0.153407738,1,0,0,calibration_square,0,16,16,4,1,-0.45,-0.15,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.241201637,0.441030506,1,0,0,calibration_square,0,17,17,14,1,0.15,0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.24734375,-0.456610863,1,0,0,calibration_square,0,18,18,2,1,0.15,-0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
,,,,,0.72514881,0.447823661,1,0,0,calibration_square,0,19,19,15,1,0.45,0.45,,001,2021-01-29_16h02.13.696,demo_eye_tracking2,2020.2.5,MacIntel,60,IwAR1vu7MOSZgYnHv12-Fz4mjjinb9fA1cSdMypcrq82z4JlMNs044IVoO8jg
