mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.015130674,-0.297799175,1,0,0,-0.74002751,0.454607978,1,0,0,calibration_square,0,0,0,12,1,-0.45,0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.74002751,0.44085282,1,0,0,calibration_square,0,1,1,19,1,-0.45,0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.250343879,0.140990371,1,0,0,calibration_square,0,2,2,10,1,0.15,0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.734525447,-0.443603851,1,0,0,calibration_square,0,3,3,16,1,-0.45,-0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.745529574,-0.446354883,1,0,0,calibration_square,0,4,4,3,1,0.45,-0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.254470426,0.142365887,1,0,0,calibration_square,0,5,5,9,1,-0.15,0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.248968363,0.446354883,1,0,0,calibration_square,0,6,6,13,1,-0.15,0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.250343879,-0.450481431,1,0,0,calibration_square,0,7,7,2,1,0.15,-0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.746905089,-0.442228336,1,0,0,calibration_square,0,8,8,17,1,0.45,-0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.746905089,0.146492435,1,0,0,calibration_square,0,9,9,8,1,-0.45,0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.746905089,0.453232462,1,0,0,calibration_square,0,10,10,18,1,0.45,0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.246217331,-0.156121045,1,0,0,calibration_square,0,11,11,5,1,-0.15,-0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.733149931,-0.158872077,1,0,0,calibration_square,0,12,12,7,1,0.45,-0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.74002751,0.140990371,1,0,0,calibration_square,0,13,13,11,1,0.45,0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.731774415,-0.450481431,1,0,0,calibration_square,0,14,14,0,1,-0.45,-0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.253094911,0.450481431,1,0,0,calibration_square,0,15,15,14,1,0.15,0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.254470426,-0.150618982,1,0,0,calibration_square,0,16,16,6,1,0.15,-0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,0.746905089,0.451856946,1,0,0,calibration_square,0,17,17,15,1,0.45,0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.74002751,-0.151994498,1,0,0,calibration_square,0,18,18,4,1,-0.45,-0.15,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
,,,,,-0.244841816,-0.442228336,1,0,0,calibration_square,0,19,19,1,1,-0.15,-0.45,Sret ,001,2022-06-04_17h04.32.891,demo_eye_tracking2,2021.1.4,iPad,62.5
