mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.178703732,0.046296296,1,0,0,-0.261111083,-0.145370413,1,0,0,calibration_square,0,0,0,5,1,-0.15,-0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.262962977,0.147222201,1,0,0,calibration_square,0,1,1,10,1,0.15,0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.797222217,0.14444443,1,0,0,calibration_square,0,2,2,8,1,-0.45,0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.803703705,0.44259259,1,0,0,calibration_square,0,3,3,19,1,-0.45,0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.801851847,-0.157407407,1,0,0,calibration_square,0,4,4,4,1,-0.45,-0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.274999972,0.444444444,1,0,0,calibration_square,0,5,5,13,1,-0.15,0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.799074076,-0.457407422,1,0,0,calibration_square,0,6,6,16,1,-0.45,-0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.795370455,-0.454629616,1,0,0,calibration_square,0,7,7,17,1,0.45,-0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.804629714,0.451851849,1,0,0,calibration_square,0,8,8,18,1,0.45,0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.803703732,0.158333319,1,0,0,calibration_square,0,9,9,11,1,0.45,0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.80277775,0.453703704,1,0,0,calibration_square,0,10,10,15,1,0.45,0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.273148148,0.445370369,1,0,0,calibration_square,0,11,11,14,1,0.15,0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.265740712,0.148148148,1,0,0,calibration_square,0,12,12,9,1,-0.15,0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.804629626,-0.449999986,1,0,0,calibration_square,0,13,13,0,1,-0.45,-0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.800000085,-0.455555598,1,0,0,calibration_square,0,14,14,3,1,0.45,-0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.267592607,-0.148148148,1,0,0,calibration_square,0,15,15,6,1,0.15,-0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.266666695,-0.444444444,1,0,0,calibration_square,0,16,16,2,1,0.15,-0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.804629626,0.445370369,1,0,0,calibration_square,0,17,17,12,1,-0.45,0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,0.797222279,-0.154629672,1,0,0,calibration_square,0,18,18,7,1,0.45,-0.15,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
,,,,,-0.268518519,-0.457407422,1,0,0,calibration_square,0,19,19,1,1,-0.15,-0.45,a,001,2022-09-29_09h01.05.197,demo_eye_tracking2,2021.1.4,Win32,59.98080614
