mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.270833333,0.128333333,1,0,0,0.2525,-0.148333333,1,0,0,calibration_square,0,0,0,6,1,0.15,-0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.258333333,0.446666667,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.771666667,0.148333333,1,0,0,calibration_square,0,2,2,11,1,0.45,0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.769166667,0.45,1,0,0,calibration_square,0,3,3,15,1,0.45,0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.764166667,-0.149166667,1,0,0,calibration_square,0,4,4,4,1,-0.45,-0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.255,-0.4475,1,0,0,calibration_square,0,5,5,1,1,-0.15,-0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.770833333,0.4475,1,0,0,calibration_square,0,6,6,12,1,-0.45,0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.253333333,0.1475,1,0,0,calibration_square,0,7,7,9,1,-0.15,0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.7675,0.1525,1,0,0,calibration_square,0,8,8,8,1,-0.45,0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.765833333,-0.1475,1,0,0,calibration_square,0,9,9,7,1,0.45,-0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.761666667,0.45,1,0,0,calibration_square,0,10,10,18,1,0.45,0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.255833333,0.449166667,1,0,0,calibration_square,0,11,11,13,1,-0.15,0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.770833333,-0.45,1,0,0,calibration_square,0,12,12,16,1,-0.45,-0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.77,0.450833333,1,0,0,calibration_square,0,13,13,19,1,-0.45,0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.25,-0.149166667,1,0,0,calibration_square,0,14,14,5,1,-0.15,-0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.765,-0.445,1,0,0,calibration_square,0,15,15,3,1,0.45,-0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.768333333,-0.448333333,1,0,0,calibration_square,0,16,16,17,1,0.45,-0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.258333333,-0.45,1,0,0,calibration_square,0,17,17,2,1,0.15,-0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,-0.765833333,-0.450833333,1,0,0,calibration_square,0,18,18,0,1,-0.45,-0.45,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
,,,,,0.253333333,0.15,1,0,0,calibration_square,0,19,19,10,1,0.15,0.15,abc,001,2022-02-21_10h19.52.208,demo_eye_tracking2,2021.1.4,MacIntel,58.82352941
