mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.358072917,-0.125,1,0,0,0.80078125,0.151041667,1,0,0,calibration_square,0,0,0,11,1,0.45,0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.263020833,0.44921875,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.798177083,-0.44921875,1,0,0,calibration_square,0,2,2,3,1,0.45,-0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.802083333,-0.447916667,1,0,0,calibration_square,0,3,3,17,1,0.45,-0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.80078125,-0.145833333,1,0,0,calibration_square,0,4,4,4,1,-0.45,-0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.799479167,0.44921875,1,0,0,calibration_square,0,5,5,12,1,-0.45,0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.2734375,0.451822917,1,0,0,calibration_square,0,6,6,13,1,-0.15,0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.794270833,-0.147135417,1,0,0,calibration_square,0,7,7,7,1,0.45,-0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.802083333,-0.454427083,1,0,0,calibration_square,0,8,8,0,1,-0.45,-0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.796875,0.450520833,1,0,0,calibration_square,0,9,9,18,1,0.45,0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.263020833,0.151041667,1,0,0,calibration_square,0,10,10,9,1,-0.15,0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.803385417,-0.446614583,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.260416667,-0.453125,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.796875,0.450520833,1,0,0,calibration_square,0,13,13,15,1,0.45,0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.263020833,-0.1484375,1,0,0,calibration_square,0,14,14,5,1,-0.15,-0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.796875,0.454427083,1,0,0,calibration_square,0,15,15,19,1,-0.45,0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.799479167,0.153645833,1,0,0,calibration_square,0,16,16,8,1,-0.45,0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.272135417,0.15234375,1,0,0,calibration_square,0,17,17,10,1,0.15,0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,-0.2578125,-0.451822917,1,0,0,calibration_square,0,18,18,1,1,-0.15,-0.45,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
,,,,,0.26171875,-0.151041667,1,0,0,calibration_square,0,19,19,6,1,0.15,-0.15,ahsan,001,2021-06-29_20h52.39.079,demo_eye_tracking2,2021.1.4,Win32,60.26274557
