mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.183602431,0.024318576,1,0,0,-0.244440104,0.441705729,1,0,0,calibration_square,0,0,0,13,1,-0.15,0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.722725694,-0.451380208,1,0,0,calibration_square,0,1,1,16,1,-0.45,-0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.721757813,0.441762153,1,0,0,calibration_square,0,2,2,18,1,0.45,0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.723676215,0.446267361,1,0,0,calibration_square,0,3,3,15,1,0.45,0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.236935764,-0.452452257,1,0,0,calibration_square,0,4,4,1,1,-0.15,-0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.721770833,-0.153546007,1,0,0,calibration_square,0,5,5,7,1,0.45,-0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.239822049,-0.156019965,1,0,0,calibration_square,0,6,6,6,1,0.15,-0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.719392361,0.443541667,1,0,0,calibration_square,0,7,7,12,1,-0.45,0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.242000868,-0.150095486,1,0,0,calibration_square,0,8,8,5,1,-0.15,-0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.722152778,-0.451588542,1,0,0,calibration_square,0,9,9,3,1,0.45,-0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.246197917,-0.449027778,1,0,0,calibration_square,0,10,10,2,1,0.15,-0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.243138021,0.452491319,1,0,0,calibration_square,0,11,11,14,1,0.15,0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.239331597,0.153098958,1,0,0,calibration_square,0,12,12,9,1,-0.15,0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.71016059,-0.454921875,1,0,0,calibration_square,0,13,13,17,1,0.45,-0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.718420139,-0.454114583,1,0,0,calibration_square,0,14,14,0,1,-0.45,-0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.7225,0.452890625,1,0,0,calibration_square,0,15,15,19,1,-0.45,0.45,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.717300347,0.156067708,1,0,0,calibration_square,0,16,16,8,1,-0.45,0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.721132813,0.149270833,1,0,0,calibration_square,0,17,17,11,1,0.45,0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.723098958,-0.150551215,1,0,0,calibration_square,0,18,18,4,1,-0.45,-0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.231636285,0.148368056,1,0,0,calibration_square,0,19,19,10,1,0.15,0.15,bhas,001,2022-03-16_10h08.53.846,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
