mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.063802083,-0.14453125,1,0,0,-0.26953125,0.455729167,1,0,0,calibration_square,0,0,0,13,1,-0.15,0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.805989583,0.444010417,1,0,0,calibration_square,0,1,1,18,1,0.45,0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.272135417,0.153645833,1,0,0,calibration_square,0,2,2,10,1,0.15,0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.803385417,0.450520833,1,0,0,calibration_square,0,3,3,15,1,0.45,0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.796875,0.458333333,1,0,0,calibration_square,0,4,4,19,1,-0.45,0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.272135417,-0.459635417,1,0,0,calibration_square,0,5,5,1,1,-0.15,-0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.803385417,-0.453125,1,0,0,calibration_square,0,6,6,17,1,0.45,-0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.263020833,-0.143229167,1,0,0,calibration_square,0,7,7,6,1,0.15,-0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.270833333,0.15234375,1,0,0,calibration_square,0,8,8,9,1,-0.15,0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.802083333,0.15234375,1,0,0,calibration_square,0,9,9,11,1,0.45,0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.80078125,-0.44140625,1,0,0,calibration_square,0,10,10,3,1,0.45,-0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.79296875,-0.145833333,1,0,0,calibration_square,0,11,11,7,1,0.45,-0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.805989583,0.447916667,1,0,0,calibration_square,0,12,12,12,1,-0.45,0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.263020833,-0.15234375,1,0,0,calibration_square,0,13,13,5,1,-0.15,-0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.268229167,0.442708333,1,0,0,calibration_square,0,14,14,14,1,0.15,0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,0.266927083,-0.45703125,1,0,0,calibration_square,0,15,15,2,1,0.15,-0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.8046875,0.149739583,1,0,0,calibration_square,0,16,16,8,1,-0.45,0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.805989583,-0.447916667,1,0,0,calibration_square,0,17,17,0,1,-0.45,-0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.795572917,-0.143229167,1,0,0,calibration_square,0,18,18,4,1,-0.45,-0.15,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
,,,,,-0.809895833,-0.442708333,1,0,0,calibration_square,0,19,19,16,1,-0.45,-0.45,bill,001,2021-05-26_15h34.53.742,demo_eye_tracking2,2021.1.4,Win32,60.13952369
