mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.054444444,0.138888889,1,0,0,-0.24,-0.153333333,1,0,0,calibration_square,0,0,0,5,1,-0.15,-0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.237777778,0.442222222,1,0,0,calibration_square,0,1,1,14,1,0.15,0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.717777778,-0.146666667,1,0,0,calibration_square,0,2,2,4,1,-0.45,-0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.724444444,0.15,1,0,0,calibration_square,0,3,3,8,1,-0.45,0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.234444444,-0.446666667,1,0,0,calibration_square,0,4,4,2,1,0.15,-0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.716666667,0.45,1,0,0,calibration_square,0,5,5,19,1,-0.45,0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.727777778,0.447777778,1,0,0,calibration_square,0,6,6,15,1,0.45,0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.717777778,-0.144444444,1,0,0,calibration_square,0,7,7,7,1,0.45,-0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.234444444,0.152222222,1,0,0,calibration_square,0,8,8,9,1,-0.15,0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.728888889,0.452222222,1,0,0,calibration_square,0,9,9,18,1,0.45,0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.713333333,0.448888889,1,0,0,calibration_square,0,10,10,12,1,-0.45,0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.24,-0.446666667,1,0,0,calibration_square,0,11,11,1,1,-0.15,-0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.242222222,0.154444444,1,0,0,calibration_square,0,12,12,10,1,0.15,0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.237777778,-0.147777778,1,0,0,calibration_square,0,13,13,6,1,0.15,-0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.715555556,0.15,1,0,0,calibration_square,0,14,14,11,1,0.45,0.15,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.724444444,-0.441111111,1,0,0,calibration_square,0,15,15,3,1,0.45,-0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.718888889,-0.443333333,1,0,0,calibration_square,0,16,16,16,1,-0.45,-0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.242222222,0.452222222,1,0,0,calibration_square,0,17,17,13,1,-0.15,0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,-0.72,-0.447777778,1,0,0,calibration_square,0,18,18,0,1,-0.45,-0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
,,,,,0.718888889,-0.453333333,1,0,0,calibration_square,0,19,19,17,1,0.45,-0.45,bt,001,2020-10-05_23h17.25.903,demo_eye_tracking2,2020.2.4,MacIntel,60
