mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.004148065,-0.266457403,1,0,0,0.719805618,-0.151804315,1,0,0,calibration_square,0,0,0,7,1,0.45,-0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.721665737,0.44781436,1,0,0,calibration_square,0,1,1,12,1,-0.45,0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.234602865,0.451185826,1,0,0,calibration_square,0,2,2,14,1,0.15,0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.241815476,-0.151976376,1,0,0,calibration_square,0,3,3,6,1,0.15,-0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.725027902,0.15281808,1,0,0,calibration_square,0,4,4,11,1,0.45,0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.719986979,-0.456040737,1,0,0,calibration_square,0,5,5,0,1,-0.45,-0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722293527,0.446456473,1,0,0,calibration_square,0,6,6,15,1,0.45,0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.715964472,0.451520647,1,0,0,calibration_square,0,7,7,19,1,-0.45,0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.236830357,-0.457017299,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.234444754,-0.146237909,1,0,0,calibration_square,0,9,9,5,1,-0.15,-0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.239560082,0.152460007,1,0,0,calibration_square,0,10,10,9,1,-0.15,0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.718108259,-0.452408854,1,0,0,calibration_square,0,11,11,17,1,0.45,-0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.237220982,0.149246652,1,0,0,calibration_square,0,12,12,10,1,0.15,0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.239085751,0.450683594,1,0,0,calibration_square,0,13,13,13,1,-0.15,0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.716643415,-0.452446057,1,0,0,calibration_square,0,14,14,3,1,0.45,-0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.721530878,0.148967634,1,0,0,calibration_square,0,15,15,8,1,-0.45,0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.71813151,-0.456417411,1,0,0,calibration_square,0,16,16,16,1,-0.45,-0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.715146019,-0.149455915,1,0,0,calibration_square,0,17,17,4,1,-0.45,-0.15,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.72016369,0.454110863,1,0,0,calibration_square,0,18,18,18,1,0.45,0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.237741815,-0.452162388,1,0,0,calibration_square,0,19,19,2,1,0.15,-0.45,dd,001,2020-12-03_10h43.44.844,demo_eye_tracking2,2020.2.5,MacIntel,60
