mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.005416667,-0.289118304,1,0,0,0.242425595,0.452946429,1,0,0,calibration_square,0,0,0,14,1,0.15,0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.725520833,-0.148571429,1,0,0,calibration_square,0,1,1,7,1,0.45,-0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.233645833,-0.15250372,1,0,0,calibration_square,0,2,2,6,1,0.15,-0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.719962798,-0.450104167,1,0,0,calibration_square,0,3,3,3,1,0.45,-0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.723638393,-0.449587054,1,0,0,calibration_square,0,4,4,0,1,-0.45,-0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.726897321,-0.453776042,1,0,0,calibration_square,0,5,5,17,1,0.45,-0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.24266369,-0.147406994,1,0,0,calibration_square,0,6,6,5,1,-0.15,-0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.246525298,0.14812872,1,0,0,calibration_square,0,7,7,10,1,0.15,0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.230104167,-0.457046131,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.72422247,0.44984003,1,0,0,calibration_square,0,9,9,15,1,0.45,0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.728173363,0.150654762,1,0,0,calibration_square,0,10,10,11,1,0.45,0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.240974702,0.145572917,1,0,0,calibration_square,0,11,11,9,1,-0.15,0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.715390625,0.448039435,1,0,0,calibration_square,0,12,12,18,1,0.45,0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.726235119,0.147845982,1,0,0,calibration_square,0,13,13,8,1,-0.45,0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.721123512,0.447689732,1,0,0,calibration_square,0,14,14,19,1,-0.45,0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.240807292,-0.453872768,1,0,0,calibration_square,0,15,15,2,1,0.15,-0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.716357887,0.443489583,1,0,0,calibration_square,0,16,16,12,1,-0.45,0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.713002232,-0.445554315,1,0,0,calibration_square,0,17,17,16,1,-0.45,-0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.235892857,0.448396577,1,0,0,calibration_square,0,18,18,13,1,-0.15,0.45,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.726082589,-0.145725446,1,0,0,calibration_square,0,19,19,4,1,-0.45,-0.15,ggg,001,2022-07-12_10h58.21.801,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
