mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.044444444,-0.198148148,1,0,0,-0.796296296,0.45,1,0,0,calibration_square,0,0,0,19,1,-0.45,0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.79537037,-0.452777778,1,0,0,calibration_square,0,1,1,16,1,-0.45,-0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.268518519,-0.140740741,1,0,0,calibration_square,0,2,2,6,1,0.15,-0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.268518519,-0.452777778,1,0,0,calibration_square,0,3,3,2,1,0.15,-0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.798148148,0.447222222,1,0,0,calibration_square,0,4,4,18,1,0.45,0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.801851852,-0.449074074,1,0,0,calibration_square,0,5,5,17,1,0.45,-0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.266666667,0.148148148,1,0,0,calibration_square,0,6,6,10,1,0.15,0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.262962963,-0.153703704,1,0,0,calibration_square,0,7,7,5,1,-0.15,-0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.802777778,0.457407407,1,0,0,calibration_square,0,8,8,15,1,0.45,0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.794444444,0.14537037,1,0,0,calibration_square,0,9,9,11,1,0.45,0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.79537037,0.148148148,1,0,0,calibration_square,0,10,10,8,1,-0.45,0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.80462963,0.457407407,1,0,0,calibration_square,0,11,11,12,1,-0.45,0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.798148148,-0.14537037,1,0,0,calibration_square,0,12,12,4,1,-0.45,-0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.269444444,-0.447222222,1,0,0,calibration_square,0,13,13,1,1,-0.15,-0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.803703704,-0.453703704,1,0,0,calibration_square,0,14,14,3,1,0.45,-0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.269444444,0.446296296,1,0,0,calibration_square,0,15,15,14,1,0.15,0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.799074074,-0.457407407,1,0,0,calibration_square,0,16,16,0,1,-0.45,-0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,0.807407407,-0.148148148,1,0,0,calibration_square,0,17,17,7,1,0.45,-0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.275,0.45,1,0,0,calibration_square,0,18,18,13,1,-0.15,0.45,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
,,,,,-0.269444444,0.148148148,1,0,0,calibration_square,0,19,19,9,1,-0.15,0.15,jakob,001,2021-10-27_15h07.50.473,demo_eye_tracking2,2021.1.4,Win32,60.01680471
