mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.081906399,-0.049821777,1,0,0,-0.723679877,0.449338888,1,0,0,calibration_square,0,0,0,12,1,-0.45,0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.234362996,0.148194411,1,0,0,calibration_square,0,1,1,9,1,-0.15,0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.725638835,-0.455916273,1,0,0,calibration_square,0,2,2,3,1,0.45,-0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.237879639,0.447274763,1,0,0,calibration_square,0,3,3,13,1,-0.15,0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.235457933,-0.448746541,1,0,0,calibration_square,0,4,4,1,1,-0.15,-0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.720273336,-0.148862779,1,0,0,calibration_square,0,5,5,4,1,-0.45,-0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.713106418,-0.145093316,1,0,0,calibration_square,0,6,6,7,1,0.45,-0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.240372518,0.448990885,1,0,0,calibration_square,0,7,7,14,1,0.15,0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.723340708,0.145723131,1,0,0,calibration_square,0,8,8,8,1,-0.45,0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.24140781,0.147483385,1,0,0,calibration_square,0,9,9,10,1,0.15,0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.721676704,0.451628401,1,0,0,calibration_square,0,10,10,18,1,0.45,0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.23900472,-0.155359836,1,0,0,calibration_square,0,11,11,6,1,0.15,-0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.238452081,-0.449095595,1,0,0,calibration_square,0,12,12,2,1,0.15,-0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.721723684,0.448396725,1,0,0,calibration_square,0,13,13,19,1,-0.45,0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.723771159,-0.449672512,1,0,0,calibration_square,0,14,14,17,1,0.45,-0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.720405629,-0.449215766,1,0,0,calibration_square,0,15,15,16,1,-0.45,-0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.716447822,-0.452305976,1,0,0,calibration_square,0,16,16,0,1,-0.45,-0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.717393392,0.148412035,1,0,0,calibration_square,0,17,17,11,1,0.45,0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,0.717617866,0.44848465,1,0,0,calibration_square,0,18,18,15,1,0.45,0.45,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
,,,,,-0.242886556,-0.151699829,1,0,0,calibration_square,0,19,19,5,1,-0.15,-0.15,l,001,2022-05-11_14h30.12.183,demo_eye_tracking2,2021.1.4,MacIntel,60.0024001
