mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.160014648,-0.06534668,1,0,0,-0.718505859,-0.452202148,1,0,0,calibration_square,0,0,0,0,1,-0.45,-0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.239658203,0.140292969,1,0,0,calibration_square,0,1,1,10,1,0.15,0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.23378418,-0.150073242,1,0,0,calibration_square,0,2,2,5,1,-0.15,-0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.718696289,-0.445551758,1,0,0,calibration_square,0,3,3,3,1,0.45,-0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720849609,-0.143520508,1,0,0,calibration_square,0,4,4,4,1,-0.45,-0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.243100586,-0.450864258,1,0,0,calibration_square,0,5,5,1,1,-0.15,-0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.722407227,0.450439453,1,0,0,calibration_square,0,6,6,19,1,-0.45,0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720288086,-0.448056641,1,0,0,calibration_square,0,7,7,16,1,-0.45,-0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.234013672,0.447539062,1,0,0,calibration_square,0,8,8,14,1,0.15,0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.718300781,-0.450185547,1,0,0,calibration_square,0,9,9,17,1,0.45,-0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.727675781,0.14440918,1,0,0,calibration_square,0,10,10,8,1,-0.45,0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.723730469,0.449375,1,0,0,calibration_square,0,11,11,12,1,-0.45,0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.71956543,0.447358398,1,0,0,calibration_square,0,12,12,18,1,0.45,0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.233144531,-0.443564453,1,0,0,calibration_square,0,13,13,2,1,0.15,-0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.243339844,0.451064453,1,0,0,calibration_square,0,14,14,13,1,-0.15,0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.232866211,-0.151538086,1,0,0,calibration_square,0,15,15,6,1,0.15,-0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.723916016,0.458349609,1,0,0,calibration_square,0,16,16,15,1,0.45,0.45,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.718959961,0.146655273,1,0,0,calibration_square,0,17,17,11,1,0.45,0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.243398438,0.148242188,1,0,0,calibration_square,0,18,18,9,1,-0.15,0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.724365234,-0.147431641,1,0,0,calibration_square,0,19,19,7,1,0.45,-0.15,mm,001,2021-04-04_23h06.43.944,demo_eye_tracking2,2020.2.5,MacIntel,60
