mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.143442623,0.032786885,1,0,0,-0.886270492,-0.454918033,1,0,0,calibration_square,0,0,0,0,1,-0.45,-0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.296106557,-0.143442623,1,0,0,calibration_square,0,1,1,6,1,0.15,-0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.299180328,-0.452868852,1,0,0,calibration_square,0,2,2,2,1,0.15,-0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.891393443,0.151639344,1,0,0,calibration_square,0,3,3,8,1,-0.45,0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.885245902,-0.149590164,1,0,0,calibration_square,0,4,4,7,1,0.45,-0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.297131148,0.149590164,1,0,0,calibration_square,0,5,5,9,1,-0.15,0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.300204918,-0.150614754,1,0,0,calibration_square,0,6,6,5,1,-0.15,-0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.886270492,-0.149590164,1,0,0,calibration_square,0,7,7,4,1,-0.45,-0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.302254098,-0.447745902,1,0,0,calibration_square,0,8,8,1,1,-0.15,-0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.883196721,0.449795082,1,0,0,calibration_square,0,9,9,19,1,-0.45,0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.299180328,0.454918033,1,0,0,calibration_square,0,10,10,14,1,0.15,0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.886270492,0.457991803,1,0,0,calibration_square,0,11,11,12,1,-0.45,0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.879098361,-0.453893443,1,0,0,calibration_square,0,12,12,3,1,0.45,-0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.292008197,0.151639344,1,0,0,calibration_square,0,13,13,10,1,0.15,0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.893442623,0.447745902,1,0,0,calibration_square,0,14,14,15,1,0.45,0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.885245902,-0.449795082,1,0,0,calibration_square,0,15,15,16,1,-0.45,-0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.885245902,0.444672131,1,0,0,calibration_square,0,16,16,18,1,0.45,0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.888319672,-0.447745902,1,0,0,calibration_square,0,17,17,17,1,0.45,-0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,0.893442623,0.152663934,1,0,0,calibration_square,0,18,18,11,1,0.45,0.15,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
,,,,,-0.290983607,0.447745902,1,0,0,calibration_square,0,19,19,13,1,-0.15,0.45,nic_brad1,001,2020-11-05_12h05.52.865,demo_eye_tracking2,2020.2.5,Win32,60
