mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.089423363,-0.036584821,1,0,0,0.711744792,-0.44734747,1,0,0,calibration_square,0,0,0,3,1,0.45,-0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.235122768,-0.15452753,1,0,0,calibration_square,0,1,1,5,1,-0.15,-0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.719393601,0.14953125,1,0,0,calibration_square,0,2,2,11,1,0.45,0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.728809524,-0.442101935,1,0,0,calibration_square,0,3,3,0,1,-0.45,-0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.242615327,-0.146841518,1,0,0,calibration_square,0,4,4,6,1,0.15,-0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.724248512,-0.44905878,1,0,0,calibration_square,0,5,5,17,1,0.45,-0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.234642857,0.45702381,1,0,0,calibration_square,0,6,6,14,1,0.15,0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.71890997,0.149029018,1,0,0,calibration_square,0,7,7,8,1,-0.45,0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.238984375,0.153448661,1,0,0,calibration_square,0,8,8,9,1,-0.15,0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.245974702,-0.447682292,1,0,0,calibration_square,0,9,9,2,1,0.15,-0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.239784226,-0.455349702,1,0,0,calibration_square,0,10,10,1,1,-0.15,-0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.238203125,0.445561756,1,0,0,calibration_square,0,11,11,13,1,-0.15,0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.717526042,0.451994048,1,0,0,calibration_square,0,12,12,15,1,0.45,0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.713880208,-0.444698661,1,0,0,calibration_square,0,13,13,16,1,-0.45,-0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.720625,-0.14750372,1,0,0,calibration_square,0,14,14,7,1,0.45,-0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.72187872,0.448329613,1,0,0,calibration_square,0,15,15,19,1,-0.45,0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.248976935,0.15608631,1,0,0,calibration_square,0,16,16,10,1,0.15,0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.716662946,-0.140922619,1,0,0,calibration_square,0,17,17,4,1,-0.45,-0.15,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720539435,0.453061756,1,0,0,calibration_square,0,18,18,12,1,-0.45,0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.716573661,0.44844122,1,0,0,calibration_square,0,19,19,18,1,0.45,0.45,raymond,001,2021-02-25_00h38.42.157,demo_eye_tracking2,2020.2.5,MacIntel,60
