mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.282061632,0.024192708,1,0,0,0.723949653,-0.452473958,1,0,0,calibration_square,0,0,0,3,1,0.45,-0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720282118,0.450638021,1,0,0,calibration_square,0,1,1,12,1,-0.45,0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.724331597,0.446597222,1,0,0,calibration_square,0,2,2,15,1,0.45,0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720907118,-0.447508681,1,0,0,calibration_square,0,3,3,0,1,-0.45,-0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.244322917,0.149335937,1,0,0,calibration_square,0,4,4,10,1,0.15,0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.237556424,-0.148862847,1,0,0,calibration_square,0,5,5,6,1,0.15,-0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.716397569,0.450290799,1,0,0,calibration_square,0,6,6,19,1,-0.45,0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722278646,-0.146276042,1,0,0,calibration_square,0,7,7,7,1,0.45,-0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.725412326,0.447222222,1,0,0,calibration_square,0,8,8,18,1,0.45,0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.716453993,0.148858507,1,0,0,calibration_square,0,9,9,11,1,0.45,0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.244674479,-0.153385417,1,0,0,calibration_square,0,10,10,5,1,-0.15,-0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.238576389,0.450013021,1,0,0,calibration_square,0,11,11,13,1,-0.15,0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.720073785,-0.452751736,1,0,0,calibration_square,0,12,12,16,1,-0.45,-0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.722647569,-0.452842882,1,0,0,calibration_square,0,13,13,17,1,0.45,-0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.242951389,0.451267361,1,0,0,calibration_square,0,14,14,14,1,0.15,0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,0.237174479,-0.446310764,1,0,0,calibration_square,0,15,15,2,1,0.15,-0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.245516493,0.144609375,1,0,0,calibration_square,0,16,16,9,1,-0.15,0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.241736111,-0.455859375,1,0,0,calibration_square,0,17,17,1,1,-0.15,-0.45,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.719453125,0.148229167,1,0,0,calibration_square,0,18,18,8,1,-0.45,0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
,,,,,-0.724900174,-0.151540799,1,0,0,calibration_square,0,19,19,4,1,-0.45,-0.15,s,001,2021-05-04_17h05.03.171,demo_eye_tracking2,2020.2.5,MacIntel,60
