mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.046748047,-0.25230957,1,0,0,-0.241508789,0.149946289,1,0,0,calibration_square,0,0,0,9,1,-0.15,0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.720297852,-0.148051758,1,0,0,calibration_square,0,1,1,7,1,0.45,-0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.721416016,-0.451123047,1,0,0,calibration_square,0,2,2,3,1,0.45,-0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.239824219,-0.448725586,1,0,0,calibration_square,0,3,3,2,1,0.15,-0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.240405273,0.449589844,1,0,0,calibration_square,0,4,4,13,1,-0.15,0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.718808594,-0.14984375,1,0,0,calibration_square,0,5,5,4,1,-0.45,-0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.719316406,0.44730957,1,0,0,calibration_square,0,6,6,19,1,-0.45,0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.23793457,-0.150322266,1,0,0,calibration_square,0,7,7,6,1,0.15,-0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.718964844,0.145898438,1,0,0,calibration_square,0,8,8,8,1,-0.45,0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.719262695,-0.454306641,1,0,0,calibration_square,0,9,9,0,1,-0.45,-0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.721435547,-0.447089844,1,0,0,calibration_square,0,10,10,17,1,0.45,-0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.722724609,-0.448256836,1,0,0,calibration_square,0,11,11,16,1,-0.45,-0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.241645508,0.45690918,1,0,0,calibration_square,0,12,12,14,1,0.15,0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.243183594,-0.148500977,1,0,0,calibration_square,0,13,13,5,1,-0.15,-0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.723432617,0.450332031,1,0,0,calibration_square,0,14,14,12,1,-0.45,0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.239492188,-0.448212891,1,0,0,calibration_square,0,15,15,1,1,-0.15,-0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.725605469,0.453198242,1,0,0,calibration_square,0,16,16,15,1,0.45,0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.235878906,0.148061523,1,0,0,calibration_square,0,17,17,10,1,0.15,0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.721152344,0.446157227,1,0,0,calibration_square,0,18,18,18,1,0.45,0.45,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.716723633,0.151928711,1,0,0,calibration_square,0,19,19,11,1,0.45,0.15,sd,001,2021-07-02_05h07.09.839,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
