mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
0.088637695,-0.084550781,1,0,0,-0.239350586,-0.144755859,1,0,0,calibration_square,0,0,0,5,1,-0.15,-0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.719799805,-0.454013672,1,0,0,calibration_square,0,1,1,3,1,0.45,-0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.721557617,-0.148579102,1,0,0,calibration_square,0,2,2,4,1,-0.45,-0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.716850586,-0.449575195,1,0,0,calibration_square,0,3,3,17,1,0.45,-0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.236938477,0.447817383,1,0,0,calibration_square,0,4,4,14,1,0.15,0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.721235352,-0.153706055,1,0,0,calibration_square,0,5,5,7,1,0.45,-0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.238369141,-0.144775391,1,0,0,calibration_square,0,6,6,6,1,0.15,-0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.718330078,0.447060547,1,0,0,calibration_square,0,7,7,12,1,-0.45,0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.240463867,0.147319336,1,0,0,calibration_square,0,8,8,9,1,-0.15,0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.237382813,-0.449438477,1,0,0,calibration_square,0,9,9,2,1,0.15,-0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.717260742,-0.457768555,1,0,0,calibration_square,0,10,10,16,1,-0.45,-0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.23987793,0.449824219,1,0,0,calibration_square,0,11,11,13,1,-0.15,0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.725327148,0.452539062,1,0,0,calibration_square,0,12,12,19,1,-0.45,0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.238139648,-0.450698242,1,0,0,calibration_square,0,13,13,1,1,-0.15,-0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.720102539,0.151337891,1,0,0,calibration_square,0,14,14,8,1,-0.45,0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.235253906,0.153530273,1,0,0,calibration_square,0,15,15,10,1,0.15,0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.720629883,0.448496094,1,0,0,calibration_square,0,16,16,18,1,0.45,0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.720629883,0.448789063,1,0,0,calibration_square,0,17,17,15,1,0.45,0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,-0.724477539,-0.451791992,1,0,0,calibration_square,0,18,18,0,1,-0.45,-0.45,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
,,,,,0.722338867,0.150976562,1,0,0,calibration_square,0,19,19,11,1,0.45,0.15,wew,001,2021-06-11_01h13.53.703,demo_eye_tracking2,2021.1.4,MacIntel,59.97361161
