mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,calibration_x,calibration_y,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.171296296,0.062037037,1,0,0,0.262037037,0.447222222,1,0,0,calibration_square,0,0,0,14,1,0.15,0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.274074074,-0.146296296,1,0,0,calibration_square,0,1,1,6,1,0.15,-0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.800925926,-0.452777778,1,0,0,calibration_square,0,2,2,0,1,-0.45,-0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.263888889,0.156481481,1,0,0,calibration_square,0,3,3,9,1,-0.15,0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.264814815,-0.443518519,1,0,0,calibration_square,0,4,4,1,1,-0.15,-0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.272222222,-0.149074074,1,0,0,calibration_square,0,5,5,5,1,-0.15,-0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.268518519,-0.447222222,1,0,0,calibration_square,0,6,6,2,1,0.15,-0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.796296296,-0.442592593,1,0,0,calibration_square,0,7,7,17,1,0.45,-0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.79537037,-0.450925926,1,0,0,calibration_square,0,8,8,3,1,0.45,-0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.809259259,-0.146296296,1,0,0,calibration_square,0,9,9,4,1,-0.45,-0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.793518519,0.451851852,1,0,0,calibration_square,0,10,10,19,1,-0.45,0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.275925926,0.45,1,0,0,calibration_square,0,11,11,13,1,-0.15,0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.809259259,0.44537037,1,0,0,calibration_square,0,12,12,15,1,0.45,0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.799074074,0.449074074,1,0,0,calibration_square,0,13,13,18,1,0.45,0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.792592593,0.156481481,1,0,0,calibration_square,0,14,14,8,1,-0.45,0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.79537037,0.149074074,1,0,0,calibration_square,0,15,15,11,1,0.45,0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.801851852,0.449074074,1,0,0,calibration_square,0,16,16,12,1,-0.45,0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.803703704,-0.140740741,1,0,0,calibration_square,0,17,17,7,1,0.45,-0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,0.269444444,0.155555556,1,0,0,calibration_square,0,18,18,10,1,0.15,0.15,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
,,,,,-0.796296296,-0.449074074,1,0,0,calibration_square,0,19,19,16,1,-0.45,-0.45,yrurtu,001,2021-06-15_02h00.49.582,demo_eye_tracking2,2021.1.4,Win32,60.66856762
